alert_time,regime,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2026-01-28 01:35:00+00:00,TREND,buy,5195.70009765625,5166.462935965402,5260.671568080357,11.4103,10.8286,0.25,approve,sl_hit,5197.324384416853,18.53,0.0,18.53,1.62,7,True,False
2026-01-28 08:50:00+00:00,TREND,buy,5327.1,5296.185037667411,5395.7999162946435,10.803,11.45,0.4,approve,sl_hit,5296.185037667411,-333.98,0.0,-333.98,-30.91,26,False,False
2026-01-28 15:15:00+00:00,TREND,sell,5288.29990234375,5334.122872488839,5186.4710797991065,7.1426,16.9715,0.35,approve,sl_hit,5334.122872488839,-327.3,0.0,-327.3,-45.82,20,False,False
2026-01-28 23:40:00+00:00,BREAKOUT,buy,5559.8001953125,5485.453860909599,5725.0142717633935,4.3143,27.5357,0.25,approve,sl_hit,5485.453860909599,-320.75,0.0,-320.75,-74.35,4,False,False
2026-01-29 10:05:00+00:00,TREND,sell,5541.6998046875,5568.29459751674,5482.600265066964,11.8194,9.8499,0.4,approve,trailing_sl,5512.819907924107,170.67,209.56,380.23,28.88,11,True,True
2026-01-29 15:00:00+00:00,TREND,sell,5485.4,5551.087161690848,5339.428529575893,4.9011,24.3286,0.35,approve,sl_hit,5481.750713239397,17.89,0.0,17.89,3.65,1,True,False
2026-01-30 01:20:00+00:00,TREND,sell,5376.1001953125,5446.377413504464,5219.9285993303565,4.5861,26.0286,0.25,approve,trailing_sl,5259.734319196428,266.83,214.87,481.7,116.37,10,True,True
2026-01-30 11:25:00+00:00,TREND,buy,5152.8998046875,5090.838413783483,5290.814006696429,5.3484,22.9857,0.4,approve,sl_hit,5090.838413783483,-331.93,0.0,-331.93,-62.06,16,False,False
2026-02-02 18:50:00+00:00,TREND,sell,4674.6001953125,4754.6001953125,4292.143303571428,4.0662,63.7428,0.35,approve,sl_hit,4754.6001953125,-325.29,0.0,-325.29,-80.0,41,False,False
2026-02-04 06:25:00+00:00,TREND,sell,5074.6998046875,5101.988996233258,5014.057156808035,11.6818,10.1071,0.25,approve,sl_hit,5101.988996233258,-318.79,0.0,-318.79,-27.29,7,False,False
2026-02-04 14:50:00+00:00,TREND,sell,5033.79990234375,5093.277120535714,4901.6283063616065,5.2526,22.0286,0.45,approve,trailing_sl,4963.634514508929,184.28,208.27,392.55,70.17,8,True,True
2026-02-05 03:00:00+00:00,TREND,sell,4856.50009765625,4936.50009765625,4644.1429547991065,4.0033,35.3929,0.25,approve,sl_hit,4936.50009765625,-320.26,0.0,-320.26,-80.0,38,False,False
2026-02-05 12:40:00+00:00,TREND,sell,4868.1001953125,4917.182055664062,4759.02939453125,6.3946,18.1785,0.45,approve,sl_hit,4865.373425292968,17.44,0.0,17.44,2.73,4,True,False
2026-02-09 23:10:00+00:00,BREAKOUT,sell,5037.50009765625,5075.068819754464,4954.0140485491065,8.3635,13.9143,0.25,approve,sl_hit,5075.068819754464,-314.21,0.0,-314.21,-37.57,38,False,False
2026-02-10 17:30:00+00:00,TREND,buy,5060.70009765625,5040.4114885602685,5105.785895647322,15.1771,7.5143,0.35,approve,sl_hit,5040.4114885602685,-307.92,0.0,-307.92,-20.29,7,False,False
2026-02-11 10:50:00+00:00,TREND,buy,5120.8998046875,5099.454146902902,5168.556821986607,14.0711,7.9428,0.4,approve,sl_hit,5122.091230119978,16.76,0.0,16.76,1.19,17,True,False
2026-02-11 23:10:00+00:00,BREAKOUT,sell,5085.4,5110.934361049107,5028.656975446428,11.8311,9.4572,0.25,approve,open,0.0,0.0,0.0,0.0,0.0,0,False,False
