alert_time,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2026-01-13 13:30:00+00:00,buy,4623.3001953125,4611.8575334821435,4640.464188058036,19.5233,5.7213,0.45,approve,sl_hit,4624.158394949777,16.75,0.0,16.75,0.86,10,True,False
2026-01-13 21:55:00+00:00,sell,4593.79990234375,4601.79990234375,4584.156940569196,27.9666,3.2143,0.35,approve,sl_hit,4601.79990234375,-223.73,0.0,-223.73,-8.0,2,False,False
2026-01-14 05:55:00+00:00,sell,4625.6998046875,4636.671205357143,4609.242703683035,19.9845,5.4857,0.25,approve,sl_hit,4636.671205357143,-219.26,0.0,-219.26,-10.97,3,False,False
2026-01-14 16:40:00+00:00,buy,4623.6,4611.557310267857,4641.664034598215,17.8426,6.0213,0.35,approve,sl_hit,4611.557310267857,-214.87,0.0,-214.87,-12.04,12,False,False
2026-01-14 21:55:00+00:00,sell,4633.29990234375,4641.29990234375,4621.6856794084815,26.322,3.8714,0.35,approve,sl_hit,4632.719191196987,15.29,0.0,15.29,0.58,1,True,False
2026-01-15 01:55:00+00:00,sell,4603.6998046875,4620.628376116071,4578.306947544643,12.4571,8.4643,0.35,approve,sl_hit,4602.430161830357,15.82,0.0,15.82,1.27,47,True,False
2026-01-15 13:35:00+00:00,sell,4597.4,4607.9,4581.65,20.1141,5.25,0.45,approve,trailing_sl,4594.5,29.17,132.0,161.16,2.9,3,True,True
2026-01-15 20:40:00+00:00,sell,4611.6998046875,4620.471149553571,4598.542787388393,24.4456,4.3857,0.35,approve,sl_hit,4620.471149553571,-214.42,0.0,-214.42,-8.77,13,False,False
2026-01-16 05:45:00+00:00,buy,4616.20009765625,4608.20009765625,4625.885749162947,26.2666,3.2286,0.25,approve,sl_hit,4608.20009765625,-210.13,0.0,-210.13,-8.0,5,False,False
2026-01-16 13:20:00+00:00,sell,4593.79990234375,4605.671484375,4575.992529296875,17.3465,5.9358,0.45,approve,sl_hit,4605.671484375,-205.93,0.0,-205.93,-11.87,4,False,False
2026-01-16 17:20:00+00:00,buy,4589.6,4573.842815290179,4613.235777064732,12.8076,7.8786,0.45,approve,sl_hit,4590.781788853237,15.14,0.0,15.14,1.18,47,True,False
2026-01-19 04:30:00+00:00,buy,4668.8001953125,4651.300265066965,4695.050090680804,11.5494,8.75,0.35,approve,tp_hit,4695.050090680804,151.59,126.32,277.91,26.25,6,True,True
2026-01-20 05:00:00+00:00,buy,4701.8001953125,4682.457491629465,4730.814250837054,10.7365,9.6714,0.25,approve,tp_hit,4730.814250837054,155.75,129.8,285.55,29.01,38,True,True
2026-01-20 13:40:00+00:00,buy,4735.8001953125,4724.3001953125,4753.0501953125,18.5551,5.75,0.45,approve,trailing_sl,4742.7001953125,64.01,133.36,197.38,6.9,4,True,True
2026-01-20 21:45:00+00:00,buy,4769.3998046875,4761.3998046875,4777.521003069197,27.1664,2.7071,0.35,approve,trailing_sl,4772.485770089285,41.92,91.93,133.84,3.09,11,True,True
2026-01-21 01:45:00+00:00,buy,4830.49990234375,4812.585770089286,4857.371100725447,12.2812,8.9571,0.35,approve,sl_hit,4831.843462262836,16.5,0.0,16.5,1.34,1,True,False
2026-01-21 14:10:00+00:00,sell,4846.00009765625,4868.257073102678,4812.6146344866065,9.8997,11.1285,0.55,approve,sl_hit,4868.257073102678,-220.34,0.0,-220.34,-22.26,4,False,False
2026-01-21 19:35:00+00:00,sell,4775.1001953125,4799.514467075893,4738.47878766741,8.8445,12.2071,0.35,approve,sl_hit,4799.514467075893,-215.93,0.0,-215.93,-24.41,9,False,False
2026-01-22 04:25:00+00:00,buy,4797.8001953125,4789.8001953125,4808.62130998884,26.4515,3.607,0.25,approve,tp_hit,4808.62130998884,143.12,119.26,262.38,10.82,16,True,True
2026-01-22 11:30:00+00:00,buy,4830.8001953125,4822.8001953125,4840.100174386161,27.1075,3.1,0.4,approve,sl_hit,4831.265194266183,12.6,0.0,12.6,0.46,6,True,False
2026-01-23 04:45:00+00:00,sell,4959.00009765625,4967.00009765625,4949.336104910714,27.139,3.2213,0.25,approve,sl_hit,4967.00009765625,-217.11,0.0,-217.11,-8.0,12,False,False
2026-01-23 08:45:00+00:00,sell,4917.1998046875,4934.7857421875,4890.8208984375,12.0989,8.793,0.4,approve,sl_hit,4915.880859375,15.96,0.0,15.96,1.32,10,True,False
2026-01-23 21:45:00+00:00,buy,4983.70009765625,4975.70009765625,4992.721233258929,26.6361,3.007,0.35,approve,trailing_sl,5020.885811941965,495.24,100.12,595.36,37.19,3,True,True
2026-01-26 08:20:00+00:00,buy,5094.8998046875,5084.72841796875,5110.156884765625,22.1205,5.0857,0.4,approve,sl_hit,5084.72841796875,-225.0,0.0,-225.0,-10.17,6,False,False
2026-01-26 19:25:00+00:00,sell,5022.00009765625,5052.700013950893,4975.950223214285,7.1823,15.35,0.35,approve,sl_hit,5052.700013950893,-220.5,0.0,-220.5,-30.7,13,False,False
2026-01-27 00:15:00+00:00,buy,5047.1,5031.5572405133935,5070.414139229911,13.9027,7.7714,0.25,approve,sl_hit,5031.5572405133935,-216.09,0.0,-216.09,-15.54,5,False,False
2026-01-27 20:15:00+00:00,buy,5140.20009765625,5124.0287109375,5164.457177734375,13.095,8.0857,0.35,approve,trailing_sl,5153.12841796875,84.65,132.35,217.0,12.93,6,True,True
2026-01-28 01:35:00+00:00,buy,5195.70009765625,5174.042940848215,5228.185832868304,9.9784,10.8286,0.25,approve,sl_hit,5197.324384416853,16.21,0.0,16.21,1.62,7,True,False
2026-01-28 08:50:00+00:00,buy,5327.1,5304.200027901786,5361.449958147322,9.4511,11.45,0.4,approve,sl_hit,5304.200027901786,-216.43,0.0,-216.43,-22.9,6,False,False
2026-01-28 15:15:00+00:00,sell,5288.29990234375,5322.242843191964,5237.385491071428,6.2487,16.9715,0.35,approve,sl_hit,5322.242843191964,-212.1,0.0,-212.1,-33.94,10,False,False
2026-01-28 23:40:00+00:00,buy,5559.8001953125,5504.728836495536,5642.407233537947,3.7743,27.5357,0.25,approve,sl_hit,5504.728836495536,-207.86,0.0,-207.86,-55.07,4,False,False
2026-01-29 10:05:00+00:00,sell,5541.6998046875,5561.399651227678,5512.1500348772315,10.3402,9.8499,0.4,approve,trailing_sl,5532.699846540178,46.53,127.31,173.84,9.0,10,True,True
2026-01-29 15:00:00+00:00,sell,5485.4,5534.057156808035,5412.414264787946,4.2579,24.3286,0.35,approve,sl_hit,5481.750713239397,15.54,0.0,15.54,3.65,1,True,False
2026-01-30 01:20:00+00:00,sell,5376.1001953125,5428.157393973214,5298.014397321428,3.9858,26.0286,0.25,approve,trailing_sl,5280.557198660715,190.41,129.68,320.09,95.54,10,True,True
2026-01-30 11:25:00+00:00,buy,5152.8998046875,5106.928404017857,5221.856905691965,4.6527,22.9857,0.4,approve,sl_hit,5106.928404017857,-213.89,0.0,-213.89,-45.97,16,False,False
2026-02-02 18:50:00+00:00,sell,4674.6001953125,4754.6001953125,4483.371749441964,2.6202,63.7428,0.35,approve,sl_hit,4754.6001953125,-209.61,0.0,-209.61,-80.0,41,False,False
2026-02-04 06:25:00+00:00,sell,5074.6998046875,5094.914020647321,5044.378480747768,10.1622,10.1071,0.25,approve,sl_hit,5094.914020647321,-205.42,0.0,-205.42,-20.21,4,False,False
2026-02-04 14:50:00+00:00,sell,5033.79990234375,5077.857101004464,4967.714104352678,4.5693,22.0286,0.45,approve,sl_hit,5030.495612444196,15.1,0.0,15.1,3.3,1,True,False
2026-02-05 03:00:00+00:00,sell,4856.50009765625,4927.285811941964,4750.321526227678,2.8482,35.3929,0.25,approve,sl_hit,4927.285811941964,-201.61,0.0,-201.61,-70.79,37,False,False
2026-02-05 12:40:00+00:00,sell,4868.1001953125,4904.45712890625,4813.564794921875,5.4345,18.1785,0.45,approve,sl_hit,4865.373425292968,14.82,0.0,14.82,2.73,4,True,False
2026-02-09 23:10:00+00:00,sell,5037.50009765625,5065.328780691964,4995.757073102678,7.1106,13.9143,0.25,approve,sl_hit,5065.328780691964,-197.88,0.0,-197.88,-27.83,6,False,False
2026-02-10 17:30:00+00:00,buy,5060.70009765625,5045.6714983258935,5083.242996651786,12.9034,7.5143,0.35,approve,sl_hit,5045.6714983258935,-193.92,0.0,-193.92,-15.03,6,False,False
2026-02-11 10:50:00+00:00,buy,5120.8998046875,5105.014132254465,5144.728313337054,11.9631,7.9428,0.4,approve,sl_hit,5122.091230119978,14.25,0.0,14.25,1.19,7,True,False
2026-02-11 23:10:00+00:00,sell,5085.4,5104.3143415178565,5057.028487723214,10.0626,9.4572,0.25,approve,sl_hit,5083.98142438616,14.27,0.0,14.27,1.42,12,True,False
2026-02-12 16:15:00+00:00,sell,4955.29990234375,4991.785811941964,4900.571037946428,5.2243,18.243,0.45,approve,sl_hit,4952.563459123883,14.3,0.0,14.3,2.74,1,True,False
2026-02-13 14:00:00+00:00,buy,5013.99990234375,4991.0142717633935,5048.478348214286,8.3051,11.4928,0.45,approve,sl_hit,5015.723824637277,14.32,0.0,14.32,1.72,6,True,False
2026-02-16 00:05:00+00:00,sell,5033.4,5051.771233258928,5005.8431501116065,10.4068,9.1856,0.25,approve,trailing_sl,5004.371233258928,151.05,119.49,270.54,29.03,44,True,True
